"matricule","coursGrp"
"2691","6 GT:ALL2-01"
"2691","6 GT:ANG4-03"
"2691","6 GT:EDPM2-02"
"2691","6 GT:FGS2-04"
"2691","6 GT:FHIS2-04"
"2691","6 GT:FR4-04"
"2691","6 GT:LAT4-02"
"2691","6 GT:MATH4-03"
"2691","6 GT:NL4-04"
"2691","6 GT:REL2-04"
"2691","6 GT:SC3-01"
"2795","6 GT:ANG2-01"
"2795","6 GT:ECO4-01"
"2795","6 GT:EDPM4-01"
"2795","6 GT:FGS2-01"
"2795","6 GT:FHIS2-01"
"2795","6 GT:FR4-01"
"2795","6 GT:MATH4-01"
"2795","6 GT:NL4-01"
"2795","6 GT:REL2-01"
"2795","6 GT:SC3-03"
"2966","6 TT:ANG2-01"
"2966","6 TT:BIO2-01"
"2966","6 TT:EDAR2-01"
"2966","6 TT:EDPF2-02"
"2966","6 TT:EDSC2-01"
"2966","6 TT:FGS2-01"
"2966","6 TT:FHIS2-01"
"2966","6 TT:FR4-01"
"2966","6 TT:MATH4-01"
"2966","6 TT:NL4-01"
"2966","6 TT:PSY2-01"
"2966","6 TT:QEJS3-01"
"2966","6 TT:REL2-01"
"2966","6 TT:TEEX1-01"
"2991","6 GT:ANG2-02"
"2991","6 GT:EDPM4-01"
"2991","6 GT:FGS2-04"
"2991","6 GT:FHIS2-04"
"2991","6 GT:FR4-04"
"2991","6 GT:MATH4-03"
"2991","6 GT:NL4-04"
"2991","6 GT:REL2-04"
"2991","6 GT:SC3-01"
"2991","6 GT:SCSO4-01"
"3063","6 TQ:AIP2-05"
"3063","6 TQ:CORE2-05"
"3063","6 TQ:EDPF2-05"
"3063","6 TQ:EDSA2-05"
"3063","6 TQ:FR4-05"
"3063","6 TQ:MATH2-05"
"3063","6 TQ:NL2-05"
"3063","6 TQ:PSY3-05"
"3063","6 TQ:REL2-05"
"3063","6 TQ:SC2-05"
"3063","6 TQ:SCHU2-05"
"3063","6 TQ:SOC2-05"
"3063","6 TQ:STAG4-05"
"3063","6 TQ:TEED2-05"
"3063","6 TQ:TEED3-05"
"3066","6 TT:ANG2-01"
"3066","6 TT:BIO2-01"
"3066","6 TT:EDAR2-01"
"3066","6 TT:EDPF2-02"
"3066","6 TT:EDSC2-01"
"3066","6 TT:FGS2-01"
"3066","6 TT:FHIS2-01"
"3066","6 TT:FR4-01"
"3066","6 TT:MATH4-01"
"3066","6 TT:NL4-01"
"3066","6 TT:PSY2-01"
"3066","6 TT:QEJS3-01"
"3066","6 TT:REL2-01"
"3066","6 TT:TEEX1-01"
"3067","6 GT:ANG4-03"
"3067","6 GT:EDPF2-02"
"3067","6 GT:ESTH1-01"
"3067","6 GT:FGS2-04"
"3067","6 GT:FHIS2-04"
"3067","6 GT:FR4-04"
"3067","6 GT:MATH4-03"
"3067","6 GT:NL4-04"
"3067","6 GT:REFR2-01"
"3067","6 GT:REL2-04"
"3067","6 GT:SC3-01"
"3067","6 GT:SCSO4-01"
"3068","6 TQ:AIP2-05"
"3068","6 TQ:CORE2-05"
"3068","6 TQ:EDPF2-05"
"3068","6 TQ:EDSA2-05"
"3068","6 TQ:FR4-05"
"3068","6 TQ:MATH2-05"
"3068","6 TQ:NL2-05"
"3068","6 TQ:PSY3-05"
"3068","6 TQ:REL2-05"
"3068","6 TQ:SC2-05"
"3068","6 TQ:SCHU2-05"
"3068","6 TQ:SOC2-05"
"3068","6 TQ:STAG4-05"
"3068","6 TQ:TEED2-05"
"3068","6 TQ:TEED3-05"
"3087","6 GT:ANG4-01"
"3087","6 GT:ECO4-01"
"3087","6 GT:EDPM2-01"
"3087","6 GT:FGS2-02"
"3087","6 GT:FHIS2-02"
"3087","6 GT:FR4-02"
"3087","6 GT:MATH6-02"
"3087","6 GT:NL4-02"
"3087","6 GT:REL2-02"
"3087","6 GT:SC3-02"
"3107","6 GT:ANG4-01"
"3107","6 GT:ECO4-01"
"3107","6 GT:EDPF2-01"
"3107","6 GT:FGS2-02"
"3107","6 GT:FHIS2-02"
"3107","6 GT:FR4-02"
"3107","6 GT:MATH6-02"
"3107","6 GT:NL4-02"
"3107","6 GT:REL2-02"
"3107","6 GT:SC3-02"
"3108","6 TQ:AIP2-06"
"3108","6 TQ:CORE2-05"
"3108","6 TQ:EDPF2-05"
"3108","6 TQ:EDSA2-05"
"3108","6 TQ:FR4-05"
"3108","6 TQ:MATH2-05"
"3108","6 TQ:NL2-05"
"3108","6 TQ:PSY3-05"
"3108","6 TQ:REL2-05"
"3108","6 TQ:SC2-05"
"3108","6 TQ:SCHU2-05"
"3108","6 TQ:SOC2-05"
"3108","6 TQ:STAG4-07"
"3108","6 TQ:TEED2-05"
"3108","6 TQ:TEED3-05"
"3133","6 TQ:AIP2-05"
"3133","6 TQ:CORE2-05"
"3133","6 TQ:EDPF2-05"
"3133","6 TQ:EDSA2-05"
"3133","6 TQ:FR4-05"
"3133","6 TQ:MATH2-05"
"3133","6 TQ:NL2-05"
"3133","6 TQ:PSY3-05"
"3133","6 TQ:REL2-05"
"3133","6 TQ:SC2-05"
"3133","6 TQ:SCHU2-05"
"3133","6 TQ:SOC2-05"
"3133","6 TQ:STAG4-05"
"3133","6 TQ:TEED2-05"
"3133","6 TQ:TEED3-05"
"3144","6 GT:ANG2-02"
"3144","6 GT:EDPF4-01"
"3144","6 GT:FGS2-04"
"3144","6 GT:FHIS2-04"
"3144","6 GT:FR4-04"
"3144","6 GT:MATH4-03"
"3144","6 GT:NL4-04"
"3144","6 GT:REL2-04"
"3144","6 GT:SC3-01"
"3144","6 GT:SCSO4-01"
"3153","6 GT:ANG4-03"
"3153","6 GT:EDPM2-02"
"3153","6 GT:ESTH1-01"
"3153","6 GT:FGS2-04"
"3153","6 GT:FHIS2-04"
"3153","6 GT:FR4-04"
"3153","6 GT:MATH4-03"
"3153","6 GT:NL4-04"
"3153","6 GT:REFR2-01"
"3153","6 GT:REL2-04"
"3153","6 GT:SC3-01"
"3153","6 GT:SCSO4-01"
"3155","6 TQ:AIP2-06"
"3155","6 TQ:CORE2-05"
"3155","6 TQ:EDPM2-05"
"3155","6 TQ:EDSA2-05"
"3155","6 TQ:FR4-05"
"3155","6 TQ:MATH2-05"
"3155","6 TQ:NL2-05"
"3155","6 TQ:PSY3-05"
"3155","6 TQ:REL2-05"
"3155","6 TQ:SC2-05"
"3155","6 TQ:SCHU2-05"
"3155","6 TQ:SOC2-05"
"3155","6 TQ:STAG4-06"
"3155","6 TQ:TEED2-05"
"3155","6 TQ:TEED3-05"
"3156","6 GT:ANG4-03"
"3156","6 GT:EDPF2-02"
"3156","6 GT:ESTH1-01"
"3156","6 GT:FGS2-04"
"3156","6 GT:FHIS2-04"
"3156","6 GT:FR4-04"
"3156","6 GT:MATH4-03"
"3156","6 GT:NL4-04"
"3156","6 GT:REFR2-01"
"3156","6 GT:REL2-04"
"3156","6 GT:SC3-01"
"3156","6 GT:SCSO4-01"
"3168","5 GT:ANG4-01"
"3168","5 GT:ECO4-01"
"3168","5 GT:EDPM2-01"
"3168","5 GT:FGS2-04"
"3168","5 GT:FR4-04"
"3168","5 GT:HIS2-04"
"3168","5 GT:MATH4-02"
"3168","5 GT:NL4-04"
"3168","5 GT:REL2-04"
"3168","5 GT:SC3-03"
"3170","6 TQ:AIP2-06"
"3170","6 TQ:CORE2-05"
"3170","6 TQ:EDPF2-05"
"3170","6 TQ:EDSA2-05"
"3170","6 TQ:FR4-05"
"3170","6 TQ:MATH2-05"
"3170","6 TQ:NL2-05"
"3170","6 TQ:PSY3-05"
"3170","6 TQ:REL2-05"
"3170","6 TQ:SC2-05"
"3170","6 TQ:SCHU2-05"
"3170","6 TQ:SOC2-05"
"3170","6 TQ:STAG4-06"
"3170","6 TQ:TEED2-05"
"3170","6 TQ:TEED3-05"
"3179","6 GT:ANG2-02"
"3179","6 GT:EDPM4-01"
"3179","6 GT:FGS2-04"
"3179","6 GT:FHIS2-04"
"3179","6 GT:FR4-04"
"3179","6 GT:MATH4-03"
"3179","6 GT:NL4-04"
"3179","6 GT:REL2-04"
"3179","6 GT:SC3-01"
"3179","6 GT:SCSO4-01"
"3181","6 GT:ANG4-01"
"3181","6 GT:ECO4-01"
"3181","6 GT:EDPM2-01"
"3181","6 GT:FGS2-02"
"3181","6 GT:FHIS2-02"
"3181","6 GT:FR4-02"
"3181","6 GT:MATH4-02"
"3181","6 GT:NL4-02"
"3181","6 GT:REL2-02"
"3181","6 GT:SC3-02"
"3185","6 GT:ANG4-03"
"3185","6 GT:EDPF2-02"
"3185","6 GT:ESTH1-01"
"3185","6 GT:FGS2-04"
"3185","6 GT:FHIS2-04"
"3185","6 GT:FR4-04"
"3185","6 GT:MATH4-03"
"3185","6 GT:NL4-04"
"3185","6 GT:REFR2-01"
"3185","6 GT:REL2-04"
"3185","6 GT:SC3-01"
"3185","6 GT:SCSO4-01"
"3186","6 GT:ANG2-02"
"3186","6 GT:EDPF4-01"
"3186","6 GT:FGS2-04"
"3186","6 GT:FHIS2-04"
"3186","6 GT:FR4-04"
"3186","6 GT:MATH4-03"
"3186","6 GT:NL4-04"
"3186","6 GT:REL2-04"
"3186","6 GT:SC3-01"
"3186","6 GT:SCSO4-01"
"3194","6 TQ:AIP2-05"
"3194","6 TQ:CORE2-05"
"3194","6 TQ:EDPF2-05"
"3194","6 TQ:EDSA2-05"
"3194","6 TQ:FR4-05"
"3194","6 TQ:MATH2-05"
"3194","6 TQ:NL2-05"
"3194","6 TQ:PSY3-05"
"3194","6 TQ:REL2-05"
"3194","6 TQ:SC2-05"
"3194","6 TQ:SCHU2-05"
"3194","6 TQ:SOC2-05"
"3194","6 TQ:STAG4-06"
"3194","6 TQ:TEED2-05"
"3194","6 TQ:TEED3-05"
"3201","6 GT:ANG2-01"
"3201","6 GT:ECO4-01"
"3201","6 GT:EDPM4-01"
"3201","6 GT:FGS2-01"
"3201","6 GT:FHIS2-01"
"3201","6 GT:FR4-01"
"3201","6 GT:MATH4-01"
"3201","6 GT:NL4-01"
"3201","6 GT:REL2-01"
"3201","6 GT:SC3-03"
"3206","6 TT:ANG2-01"
"3206","6 TT:BIO2-01"
"3206","6 TT:EDAR2-01"
"3206","6 TT:EDPF2-02"
"3206","6 TT:EDSC2-01"
"3206","6 TT:FGS2-01"
"3206","6 TT:FHIS2-01"
"3206","6 TT:FR4-01"
"3206","6 TT:MATH4-01"
"3206","6 TT:NL4-01"
"3206","6 TT:PSY2-01"
"3206","6 TT:QEJS3-01"
"3206","6 TT:REL2-01"
"3206","6 TT:TEEX1-01"
"3208","6 GT:ANG4-03"
"3208","6 GT:EDPF2-02"
"3208","6 GT:ESTH1-01"
"3208","6 GT:FGS2-04"
"3208","6 GT:FHIS2-04"
"3208","6 GT:FR4-04"
"3208","6 GT:MATH4-03"
"3208","6 GT:NL4-04"
"3208","6 GT:REFR2-01"
"3208","6 GT:REL2-04"
"3208","6 GT:SC3-01"
"3208","6 GT:SCSO4-01"
"3245","6 GT:ANG2-01"
"3245","6 GT:ECO4-01"
"3245","6 GT:EDPM4-01"
"3245","6 GT:FGS2-01"
"3245","6 GT:FHIS2-01"
"3245","6 GT:FR4-01"
"3245","6 GT:MATH4-01"
"3245","6 GT:NL4-01"
"3245","6 GT:REL2-01"
"3245","6 GT:SC3-03"
"3249","5 GT:ANG4-02"
"3249","5 GT:EDPF2-01"
"3249","5 GT:ESTH1-01"
"3249","5 GT:FGS2-04"
"3249","5 GT:FR4-04"
"3249","5 GT:FRRE2-04"
"3249","5 GT:HIS2-04"
"3249","5 GT:MATH4-02"
"3249","5 GT:NL4-04"
"3249","5 GT:REL2-04"
"3249","5 GT:SC3-03"
"3249","5 GT:SCSO4-01"
"3274","6 GT:ANG4-01"
"3274","6 GT:ECO4-01"
"3274","6 GT:EDPF2-01"
"3274","6 GT:FGS2-02"
"3274","6 GT:FHIS2-02"
"3274","6 GT:FR4-02"
"3274","6 GT:MATH4-02"
"3274","6 GT:NL4-02"
"3274","6 GT:REL2-02"
"3274","6 GT:SC3-02"
"3359","5 GT:ANG4-02"
"3359","5 GT:ECO4-01"
"3359","5 GT:EDPM2-02"
"3359","5 GT:FGS2-02"
"3359","5 GT:FR4-02"
"3359","5 GT:HIS2-02"
"3359","5 GT:MATH4-03"
"3359","5 GT:NL4-02"
"3359","5 GT:REL2-02"
"3359","5 GT:SC3-02"
"3361","6 GT:ANG2-01"
"3361","6 GT:ECO4-01"
"3361","6 GT:EDPM4-01"
"3361","6 GT:FGS2-01"
"3361","6 GT:FHIS2-01"
"3361","6 GT:FR4-01"
"3361","6 GT:MATH4-01"
"3361","6 GT:NL4-01"
"3361","6 GT:REL2-01"
"3361","6 GT:SC3-03"
"3399","6 GT:ANG2-01"
"3399","6 GT:ECO4-01"
"3399","6 GT:EDPM4-01"
"3399","6 GT:FGS2-01"
"3399","6 GT:FHIS2-01"
"3399","6 GT:FR4-01"
"3399","6 GT:MATH4-01"
"3399","6 GT:NL4-01"
"3399","6 GT:REL2-01"
"3399","6 GT:SC3-03"
"3408","6 TT:ANG2-01"
"3408","6 TT:BIO2-01"
"3408","6 TT:EDPM4-01"
"3408","6 TT:EDSC2-01"
"3408","6 TT:FGS2-01"
"3408","6 TT:FHIS2-01"
"3408","6 TT:FR4-01"
"3408","6 TT:MATH4-01"
"3408","6 TT:NL4-01"
"3408","6 TT:PSY2-01"
"3408","6 TT:QEJS3-01"
"3408","6 TT:REL2-01"
"3408","6 TT:TEEX1-01"
"3422","6 GT:ALL2-01"
"3422","6 GT:ANG4-03"
"3422","6 GT:ECO4-01"
"3422","6 GT:EDPM2-02"
"3422","6 GT:FGS2-04"
"3422","6 GT:FHIS2-04"
"3422","6 GT:FR4-04"
"3422","6 GT:MATH4-03"
"3422","6 GT:NL4-04"
"3422","6 GT:REL2-04"
"3422","6 GT:SC3-01"
"3483","6 GT:ANG4-01"
"3483","6 GT:EDPM2-01"
"3483","6 GT:FGS2-02"
"3483","6 GT:FHIS2-02"
"3483","6 GT:FR4-02"
"3483","6 GT:LAT4-01"
"3483","6 GT:MATH6-02"
"3483","6 GT:NL4-02"
"3483","6 GT:REL2-02"
"3483","6 GT:SC3-02"
"3484","5 TQ:AIP2-05"
"3484","5 TQ:CORE1-05"
"3484","5 TQ:EDPF2-05"
"3484","5 TQ:EDSA3-05"
"3484","5 TQ:FR4-05"
"3484","5 TQ:MATH2-05"
"3484","5 TQ:NL2-05"
"3484","5 TQ:PSY3-05"
"3484","5 TQ:REL2-05"
"3484","5 TQ:SC2-05"
"3484","5 TQ:SCHU2-05"
"3484","5 TQ:SOC2-05"
"3484","5 TQ:STA4-05"
"3484","5 TQ:TEED2-05"
"3484","5 TQ:TEED3-05"
"3491","6 TQ:AIP2-06"
"3491","6 TQ:CORE2-05"
"3491","6 TQ:EDPM2-05"
"3491","6 TQ:EDSA2-05"
"3491","6 TQ:FR4-05"
"3491","6 TQ:MATH2-05"
"3491","6 TQ:NL2-05"
"3491","6 TQ:PSY3-05"
"3491","6 TQ:REL2-05"
"3491","6 TQ:SC2-05"
"3491","6 TQ:SCHU2-05"
"3491","6 TQ:SOC2-05"
"3491","6 TQ:STAG4-07"
"3491","6 TQ:TEED2-05"
"3491","6 TQ:TEED3-05"
"3493","6 GT:ANG4-01"
"3493","6 GT:ECO4-01"
"3493","6 GT:EDPF2-01"
"3493","6 GT:FGS2-02"
"3493","6 GT:FHIS2-02"
"3493","6 GT:FR4-02"
"3493","6 GT:MATH6-02"
"3493","6 GT:NL4-02"
"3493","6 GT:REL2-02"
"3493","6 GT:SC3-02"
"3495","6 TT:ANG2-01"
"3495","6 TT:BIO2-01"
"3495","6 TT:EDPF4-01"
"3495","6 TT:EDSC2-01"
"3495","6 TT:FGS2-01"
"3495","6 TT:FHIS2-01"
"3495","6 TT:FR4-01"
"3495","6 TT:MATH4-01"
"3495","6 TT:NL4-01"
"3495","6 TT:PSY2-01"
"3495","6 TT:QEJS3-01"
"3495","6 TT:REL2-01"
"3495","6 TT:TEEX1-01"
"3496","6 GT:ANG4-01"
