"acronyme","coursGrp","nomCours"
"DEP","6 GT:PHY2-01",
"ADO","3 GT:MATH5-03",
"ADO","3 GT:MATH5-07",
"ADO","4 GT:MATH5-03",
"ADO","4 GT:MATH5-06",
"ALT",":EDEC-",
"AMA",":SUED-",
"BAE","1C:EDMN4-02",
"BAE","1C:NL4-02",
"BAE","2C:NL4-03",
"BAU","1C:ACDR2-01",
"BAU","1C:REL2-02",
"BAU","1C:REL2-03",
"BAU","1S:REL2-03",
"BAU","2C:REL2-02",
"BAU","2C:REL2-03",
"BAU","2C:REL2-11",
"BAU","2S:REL2-09",
"BEE","2C:EXPR2-01",
"BEE","2C:SOEC2-01",
"BEE","3 GT:SCSO4-01",
"BEE","3 GT:SCSO4-02",
"BEE","4 GT:SCSO4-02",
"BEE","5 TT:QEJS3-01",
"BEE","6 TT:QEJS3-01",
"PBE","4 GT:ANG4-01",
"PBE","5 GT:ANG4-01",
"PBE","6 GT:ANG4-01",
"BEL",":SUED-",
"BER","4 GT:ANG2-03",
"BER","4 GT:NL4-02",
"BER","4 GT:NL4-04",
"BER","5 GT:ANG2-01",
"BER","5 GT:ANG2-02",
"BER","5 TT:ANG2-01",
"BER","6 GT:ANG2-02",
"BEU","1C:SC3-1a",
"BEU","1C:SC3-1b",
"BEU","1C:SC3-3a",
"BEU","1C:SC3-3b",
"BEU","1C:SC3-6a",
"BEU","1C:SC3-6b",
"BEU","1S:SC3-3a",
"BEU","1S:SC3-3b",
"BEU","1S:SC3-6a",
"BEU","1S:SC3-6b",
"BEU","2C:LABO2-02",
"BEU","2C:SC3-01",
"BEU","3 GT:SC3-03",
"BEU","3 TT:EDSC2-01",
"BLO","1C:ACMA2-01",
"BLO","1C:MATH4-1a",
"BLO","1C:MATH4-1b",
"BLO","1C:MATH4-2a",
"BLO","1C:MATH4-2b",
"BLO","1S:ACMA2-01",
"BLO","1S:MATH4-8a",
"BLO","1S:MATH4-8b",
"BLO","2C:MATH5-01",
"BLO","2C:MATH5-11",
"BON","4 TT:FR5-01",
"BON","4 TT:FREX2-01",
"BON","5 GT:FR4-02",
"BON","6 GT:FR4-01",
"BON","6 GT:FR4-04",
"BON","6 GT:REFR2-01",
"BON","6 TT:FR4-01",
"BNT","4 TT:EDSC2-01",
"BNT","5 GT:SC6-01",
"BNT","5 TQ:SC2-05",
"BNT","6 GT:SC3-01",
"BNT","6 GT:SC3-02",
"BNT","6 TQ:COIN-00",
"BNT","6 TQ:SC2-05",
"BNT","6 TT:EDSC2-01",
"BUI","2C:NL4-06",
"BUI","2S:NL2-04",
"BUI","3 GT:ANG2-01",
"BUI","3 GT:ANG4-01",
"BUI","3 GT:NL4-05",
"BUI","3 TT:ANG2-01",
"BUI","3 TT:NL4-01",
"BRI","1C:MATH4-4a",
"BRI","1C:MATH4-4b",
"BRI","1S:MATH4-4a",
"BRI","1S:MATH4-4b",
"BRI","2C:MATH5-03",
"BRI","2S:MATH7-9a",
"BRI","3 GT:MATH5-05",
"BOU","1C:LAT2-03",
"BOU","1C:LAT2-04",
"BOU","1C:LAT2-05",
"BOU","1C:LAT2-07",
"BOU","1S:LAT2-03",
"BOU","1S:LAT2-04",
"BOU","1S:LAT2-05",
"BOU","1S:LAT2-07",
"BOU","2C:EDAR1-01",
"BOU","2C:EDAR1-02",
"BOU","2C:EDAR1-03",
"BOU","2C:EDAR1-05",
"BOU","2C:EDAR1-06",
"BOU","2C:EDAR1-07",
"BOU","2C:EDAR1-08",
"BOU","2C:EDAR1-11",
"BOU","2S:EDAR1-09",
"BOU","2S:EDAR1-10",
"BOU","5 TQ:TEED2-06",
"BOU","5 TQ:TEED3-05",
"BOU","6 TQ:COIN-00",
"BOU","6 TQ:TEED3-05",
"BBU",":SEDI-",
"CAS","4 GT:ANG2-02",
"CAS","4 GT:GEON2-05",
